"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Treatment plant",5,7,6,12,10,10,7,8,14,13,21,19,27,25,35,22,40,44,53,62,58,77,109,129,147,185,233,272,339,429,522,665,766,831,912
"Aquaculture",12,11,11,17,22,19,18,23,20,23,17,34,39,42,44,45,58,58,81,103,101,141,151,160,176,197,215,251,290,371,425,494,601,595,631
"Agriculture",3,2,4,5,6,7,9,6,9,6,11,16,17,19,19,22,42,40,36,35,46,60,64,72,80,97,115,104,177,188,244,292,334,299,356
"Marine",8,2,8,5,11,9,10,7,15,11,13,10,17,23,23,25,33,37,49,69,37,54,68,90,87,74,81,94,118,120,163,193,222,196,226
"River",3,6,5,8,4,6,5,4,5,8,6,7,10,10,7,14,18,28,19,22,30,39,47,62,66,80,70,103,117,155,185,215,254,236,279
"Lake",3,4,5,4,3,8,7,9,10,6,11,7,10,12,16,12,29,31,21,26,29,33,34,45,41,54,61,58,63,84,110,128,164,155,185
"Beach",1,1,1,2,0,4,1,4,9,5,3,6,5,15,6,12,13,13,28,25,17,30,36,30,25,24,31,39,43,49,61,63,90,73,69
"Drinking water",3,2,3,3,6,1,3,7,5,5,4,1,5,6,14,5,9,16,10,10,10,22,17,19,23,26,29,17,53,50,56,55,90,80,86
"Industrial zone",2,0,2,1,1,3,1,0,2,1,0,3,3,1,2,2,5,4,6,3,8,9,12,11,15,28,34,38,40,68,67,90,85,93,104
"Urbanized area",0,0,1,0,3,3,1,3,1,1,0,1,4,6,3,4,3,10,5,10,9,7,14,22,21,21,39,32,39,69,54,90,84,83,77
"Wetland",0,0,1,0,0,0,0,0,1,1,1,0,1,2,2,2,2,8,2,7,7,8,11,23,15,18,28,32,25,32,56,56,65,78,71
"Aquatic vegetation",1,2,0,2,1,5,5,2,1,0,4,1,6,3,4,4,7,4,12,17,12,14,12,22,20,11,20,18,28,31,33,52,44,54,76
"Stream",1,2,1,3,2,2,0,2,4,1,3,0,4,1,3,2,5,4,8,12,11,8,15,16,15,13,15,22,25,36,41,38,39,43,37
"Groundwater",0,0,0,2,0,3,2,2,1,4,2,2,2,6,6,3,4,6,2,10,10,6,14,14,12,12,13,19,28,31,25,49,49,37,46
"Drainage",0,0,0,0,0,1,1,0,1,1,1,2,4,4,1,3,3,2,4,6,4,9,7,6,12,15,15,16,18,22,39,36,43,54,43
"Catchment",0,1,0,0,0,1,0,1,0,1,0,0,1,2,2,3,2,7,3,6,10,7,4,4,9,9,9,11,19,20,26,18,38,26,34
"Estuary",1,0,2,0,0,1,0,2,2,2,1,0,2,1,1,4,3,7,10,3,1,9,7,10,3,12,6,12,18,13,20,17,22,34,25
"Rain",0,1,0,0,0,2,0,2,1,0,1,2,0,0,1,0,2,2,2,1,1,2,2,1,4,3,5,5,6,7,8,6,12,4,5
"Landfill",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,1,0,1,2,2,4,5,6,4,10,13,12,11
"Glacier",0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,2,3,3,4,1,2,6,2,2,2,7,10
"Tundra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,2,3,3,2,1,3,2,4,1,1
