"","total","HIC","UMIC","LMIC","LIC","EAP","ECA","LAC","MENA","NAC","SAS","SSA"
"Treatment plant","*","*","*","","","*","*","","","*","*",""
"Aquaculture","△","△","","","","△","△","","","","","*"
"Agriculture","","","","","","*","","","","","",""
"Marine","△","△","","","","","△","","","△","",""
"River","","*","","","","*","*","*","","","",""
"Lake","△","","","","*","","","","","","","*"
"Beach","","","","","","","","","","","",""
"Drinking water","△","","","","","*","","","","","",""
"Industrial zone","","*","*","*","","*","*","","*","*","*",""
"Urbanized area","*","","","*","","*","","","*","*","*",""
"Wetland","*","*","*","*","","*","*","","*","*","*","*"
"Aquatic vegetation","","","","*","","","","","*","","*",""
"Stream","","","*","","","","*","*","","","*",""
"Groundwater","","","*","","","","","","","","*","*"
"Drainage","*","","*","","","","*","","","*","*","*"
"Catchment","","*","","","","*","*","*","","","",""
"Estuary","","","","",NA,"","","","","","",""
"Rain","","","","","","","*","","","","",""
"Landfill","*","","*","*","","*","","*","","","*",""
"Glacier","","","*","",NA,"*","*","","","","",""
"Tundra","*","*","","",NA,"","","",NA,"","",NA
