"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"PCR",0,0,0,2,0,1,1,5,4,8,8,4,12,11,22,13,38,36,37,40,45,69,75,92,96,107,120,98,155,177,190,189,206,235,212
"AST",3,2,0,0,1,2,3,8,7,3,3,2,5,7,2,10,12,15,13,18,20,31,36,35,34,41,50,55,85,84,106,111,149,146,140
"Amplicon sequencing",0,0,0,0,1,0,1,3,2,2,2,2,5,11,9,7,14,18,13,26,15,21,22,35,31,40,30,42,51,60,56,76,81,77,85
"Metagenomic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,5,6,7,9,16,16,32,48,52,73,108,129,139
"qPCR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,6,8,7,19,18,18,33,26,56,50,76,74,74,88,89
"WGS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,12,18,32,43,70,63,83,109
"PFGE",0,0,0,0,1,0,1,1,0,1,1,1,3,0,2,4,4,5,9,9,6,21,11,13,15,10,13,16,22,16,13,19,19,10,6
"MLST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,5,5,10,5,13,15,18,20,25,32,30,22,24
"HT-qPCR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,13,12,11,18,25,19,22
"mPCR",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,2,0,4,6,5,6,3,6,7,6,9,8,5,5
"dPCR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,2,4,13
"FACS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,3
