"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"PCR",1.37138853915727,1.55644337817609,1.82080743391725,1.93316215760724,2.40571290724457,2.61059505044397,2.84521814991425,3.03027298893306,3.31776889955157,3.72092408455684,3.96876538681418,4.84116677076001,5.29058566551999,5.68382719843496,6.20264165782699,6.55953313307756,6.78093802976078,6.95938376738607,7.44845727050722,8.47947708789774,9.45431954344328,9.47414684762386,9.49066960110768,9.0610780105283,8.67114102831009
"AST",0.981451556939061,1.10702448341611,1.09050172993229,1.21607465640934,1.34164758288639,1.46391595866668,1.48704781354403,1.68862540604667,1.84063473809783,1.99594862084577,2.31649003843192,2.62711780392779,3.10958220565541,3.5854375059895,3.52595559344774,3.96215628542065,4.06790190771712,4.67593923592179,4.84777587215354,5.38641763572616,6.76441527627696,7.2634024314884,7.67647126858397,7.24357512730782,7.21052962034017
"Amplicon sequencing",0.0660910139352903,0.0925274195094064,0.0826137674191129,0.148704781354403,0.161922984141461,0.115659274386758,0.115659274386758,0.185054839018813,0.152009332051168,0.181750288322048,0.191663940412342,0.294105012012042,0.297409562708806,0.363500576644097,0.366805127340861,0.456027996153503,0.399850634308506,0.432896141276151,0.515509908695264,0.492378053817913,0.647691936565845,0.756742109559074,0.812919471404071,0.905446890913477,0.727001153288193
"Metagenomic",0,0,0.00330455069676451,0.00330455069676451,0.00330455069676451,0.00330455069676451,0,0.00660910139352903,0.00660910139352903,0.0231318548773516,0.0198273041805871,0.0198273041805871,0.0429591590579387,0.0594819125417613,0.0528728111482322,0.0892228688126419,0.125572926477052,0.191663940412342,0.185054839018813,0.304018664102335,0.416373387792329,0.64438738586908,0.763351210952603,0.882315036036125,1.12024268620317
"qPCR",0.00991365209029354,0.00991365209029354,0.00660910139352903,0.0198273041805871,0.0396546083611742,0.0528728111482322,0.0429591590579387,0.0429591590579387,0.0925274195094064,0.0660910139352903,0.142095679960874,0.201577592502635,0.228013998076751,0.376718779431155,0.528728111482322,0.581600922630555,0.555164517056438,0.74682845746878,0.945101499274651,1.21277010571258,1.43087045169903,1.62583894280814,1.86376659297519,1.83733018740107,2.16448070638076
"WGS",0,0.00660910139352903,0,0,0,0.00330455069676451,0.00330455069676451,0.00660910139352903,0.00330455069676451,0.0132182027870581,0.0297409562708806,0.0495682604514677,0.118963825083523,0.161922984141461,0.446114344063209,0.489073503121148,0.650996487262609,1.03762891878406,1.33834303218963,1.81419833252372,2.41893111003162,2.99722748196541,3.30785524746128,3.4367327246351,3.79692875058243
"PFGE",0.24123220086381,0.247841302257339,0.3073232147991,0.376718779431155,0.472550749637326,0.5122053579985,0.548555415662909,0.627864632385258,0.624560081688493,0.727001153288193,0.690651095623784,0.845964978371716,0.925274195094064,0.968233354152003,1.02110616530023,0.941796948577887,1.02771526669376,0.888924137429654,0.819528572797599,0.931883296487593,0.978147006242296,0.756742109559074,0.611341878901435,0.492378053817913,0.360196025947332
"MLST",0.0165227534838226,0.00991365209029354,0.0297409562708806,0.0561773618449967,0.0826137674191129,0.145400230657639,0.165227534838226,0.181750288322048,0.254450403650868,0.323845968282922,0.346977823160274,0.432896141276151,0.594819125417613,0.862487731855538,0.836051326281422,0.879010485339361,1.01780161460347,1.05084712157112,1.1731154973514,1.24251106198346,1.40112949542815,1.52670242190521,1.32842938009933,1.30860207591875,1.14337454108052
"HT-qPCR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660910139352903,0.00660910139352903,0.0363500576644097,0.0561773618449967,0.0297409562708806,0.0561773618449967,0.0660910139352903,0.0660910139352903,0.0561773618449967
"mPCR",0.0198273041805871,0.0264364055741161,0.0231318548773516,0.0561773618449967,0.0330455069676451,0.0495682604514677,0.0561773618449967,0.0561773618449967,0.118963825083523,0.112354723689993,0.128877477173816,0.152009332051168,0.185054839018813,0.201577592502635,0.254450403650868,0.231318548773516,0.27097315713469,0.254450403650868,0.267668606437926,0.376718779431155,0.492378053817913,0.396546083611742,0.429591590579387,0.370109678037626,0.340368721766745
