,Research Area,cnt,name,Percentage
1,Basic Research,57,Aquaculture,29.6875
2,Operational,49,Aquaculture,25.52083333
3,Vaccines,28,Aquaculture,14.58333333
4,Therapeutics,15,Aquaculture,7.8125
5,Diagnostics,14,Aquaculture,7.291666667
6,Other Products,9,Aquaculture,4.6875
7,Promotants,8,Aquaculture,4.166666667
8,Preventives Other,6,Aquaculture,3.125
9,Policy,4,Aquaculture,2.083333333
10,Capacity Building,2,Aquaculture,1.041666667
11,Basic Research,102,Water,43.03797468
12,Operational,94,Water,39.66244726
13,Other Products,17,Water,7.172995781
14,Diagnostics,16,Water,6.751054852
15,Capacity Building,6,Water,2.53164557
16,Policy,1,Water,0.421940928
17,Therapeutics,1,Water,0.421940928
18,Operational,142,Wastewater,47.33333333
19,Basic Research,102,Wastewater,34
20,Other Products,37,Wastewater,12.33333333
21,Diagnostics,8,Wastewater,2.666666667
22,Capacity Building,5,Wastewater,1.666666667
23,Policy,5,Wastewater,1.666666667
24,Therapeutics,1,Wastewater,0.333333333
