,Research Area,cnt,name,Percentage
25,Operational,170,Human,58.41924399
26,Basic Research,58,Human,19.93127148
27,Other Products,20,Human,6.872852234
28,Capacity Building,16,Human,5.498281787
29,Diagnostics,13,Human,4.467353952
30,Policy,10,Human,3.436426117
31,Therapeutics,3,Human,1.030927835
32,Preventives Other,1,Human,0.343642612
33,Operational,27,Plant,54
34,Other Products,9,Plant,18
35,Basic Research,8,Plant,16
36,Capacity Building,3,Plant,6
37,Diagnostics,1,Plant,2
38,Policy,1,Plant,2
39,Promotants,1,Plant,2
40,Operational,101,Other Environment,54.89130435
41,Basic Research,58,Other Environment,31.52173913
42,Capacity Building,6,Other Environment,3.260869565
43,Diagnostics,5,Other Environment,2.717391304
44,Other Products,5,Other Environment,2.717391304
45,Policy,5,Other Environment,2.717391304
46,Promotants,2,Other Environment,1.086956522
47,Therapeutics,2,Other Environment,1.086956522
48,Operational,108,Other Animal,64.67065868
49,Basic Research,32,Other Animal,19.16167665
50,Capacity Building,11,Other Animal,6.586826347
51,Policy,7,Other Animal,4.191616766
52,Diagnostics,5,Other Animal,2.994011976
53,Other Products,2,Other Animal,1.19760479
54,Promotants,2,Other Animal,1.19760479
