,Research Area,Amount USD Since 2017,name,Amount_Million,Percentage
1,Operational,23850522.98,Aquaculture,23.85052298,26.78488914
2,Basic Research,20270745.41,Aquaculture,20.27074541,22.76468608
3,Vaccines,18579622.14,Aquaculture,18.57962214,20.86550134
4,Diagnostics,8980378.93,Aquaculture,8.98037893,10.08524862
5,Therapeutics,8282718.92,Aquaculture,8.28271892,9.301754441
6,Other Products,4244878.65,Aquaculture,4.24487865,4.767132534
7,Preventives Other,2295648.06,Aquaculture,2.29564806,2.578085136
8,Promotants,1613908.5,Aquaculture,1.6139085,1.81247012
9,Policy,583873.45,Aquaculture,0.58387345,0.65570829
10,Capacity Building,342398.48,Aquaculture,0.34239848,0.384524286
11,Operational,33447797.72,Water,33.44779772,47.45615277
12,Basic Research,22062127.73,Water,22.06212773,31.30202212
13,Other Products,10203735.84,Water,10.20373584,14.47718773
14,Diagnostics,3093697.76,Water,3.09369776,4.389376986
15,Capacity Building,1542138.96,Water,1.54213896,2.188006
16,Therapeutics,67620,Water,0.06762,0.0959401
17,Policy,64359.66,Water,0.06435966,0.091314289
18,Operational,36602239.72,Wastewater,36.60223972,44.28274636
19,Basic Research,25735171.96,Wastewater,25.73517196,31.13536497
20,Other Products,14362909.4,Wastewater,14.3629094,17.37678019
21,Diagnostics,2499963.16,Wastewater,2.49996316,3.024548098
22,Capacity Building,1856862.79,Wastewater,1.85686279,2.246501432
23,Policy,1548611.1,Wastewater,1.5486111,1.873567112
24,Therapeutics,49999.99,Wastewater,0.04999999,0.060491841
